operatingunit,operatingunituid
Angola,XOivy2uDpMF
Asia Region,ptVxnBssua6
Botswana,l1KFEXKI4Dg
Burundi,Qh4XMQJhbk8
Cameroon,bQQJe0cC1eD
Cote d'Ivoire,ds0ADyc9UCU
Democratic Republic of the Congo,ANN4YCOufcP
Dominican Republic,NzelIFhEv3C
Eswatini,V0qMZH29CtN
Ethiopia,IH1kchw86uA
Haiti,JTypsdEUNPw
Kenya,HfVjCurKxh2
Lesotho,qllxzIjjurr
Malawi,lZsCb6y0KDX
Mozambique,h11OyvlPxpJ
Namibia,FFVkaV9Zk1S
Nigeria,PqlFzhuPcF1
Rwanda,XtxUYCsDWrR
South Africa,cDGPF739ZZr
South Sudan,WLG0z5NxQs8
Tanzania,mdXu6iCbn2G
Uganda,FETQ6OmnsKB
Ukraine,ligZVIYs2rL
Vietnam,YM6xn5QxNpY
West Africa Region,G0BT4KrJouu
Western Hemisphere Region,IJOkeEIdw9i
Zambia,f5RoebaDLMx
Zimbabwe,a71G4Gtcttv
El Salvador,xxYYYzzz111
Guatemala,xxYYYzzz112
Honduras,xxYYYzzz113
India,xxYYYzzz114
Indonesia,xxYYYzzz115
Jamaica,xxYYYzzz116
Kazakhstan,xxYYYzzz117
Laos,xxYYYzzz118
Nicaragua,xxYYYzzz119
Panama,xxYYYzzz120
Thailand,xxYYYzzz121
Ghana,xxYYYzzz122
Burma,DxCvv67ii0
Cambodia,xxYYYzzz125
Brasil,xxYYYzzz128
Myanmar,xxYYYzzz130
Guyana,xxZZZyyy131
Senegal,zzXXXyyy132
Nepal,qqXXqqq133
